Size,Depth,Log(Size), Log(Depth)
82,10,4.406719247264253,2.302585092994046
83,10,4.418840607796598,2.302585092994046
84,10,4.430816798843313,2.302585092994046
85,10,4.442651256490317,2.302585092994046
86,9,4.454347296253507,2.1972245773362196
87,9,4.465908118654584,2.1972245773362196
88,9,4.477336814478207,2.1972245773362196
89,9,4.48863636973214,2.1972245773362196
90,10,4.499809670330265,2.302585092994046
91,11,4.51085950651685,2.3978952727983707
92,11,4.5217885770490405,2.3978952727983707
93,11,4.532599493153256,2.3978952727983707
94,10,4.543294782270004,2.302585092994046
95,10,4.553876891600541,2.302585092994046
96,10,4.564348191467836,2.302585092994046
97,10,4.574710978503383,2.302585092994046
98,10,4.584967478670572,2.302585092994046
99,10,4.59511985013459,2.302585092994046
100,10,4.605170185988092,2.302585092994046
101,10,4.61512051684126,2.302585092994046
102,10,4.624972813284271,2.302585092994046
103,10,4.634728988229636,2.302585092994046
104,10,4.6443908991413725,2.302585092994046
105,10,4.653960350157523,2.302585092994046
106,10,4.663439094112067,2.302585092994046
107,10,4.672828834461906,2.302585092994046
108,10,4.68213122712422,2.302585092994046
109,10,4.6913478822291435,2.302585092994046
110,10,4.700480365792417,2.302585092994046
111,10,4.709530201312334,2.302585092994046
112,10,4.718498871295094,2.302585092994046
113,10,4.727387818712341,2.302585092994046
114,10,4.736198448394496,2.302585092994046
115,10,4.74493212836325,2.302585092994046
